Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
2026.05.28 17:33:18,8261088,NAS100.x,sell,0.01,30 064.89,30 090.62,29 692.41,2026.05.28 17:37:52,30 077.82,0.00,0.00,- 1.29,,
2026.05.28 17:34:18,8261964,NAS100.x,sell,0.02,30 054.69,30 081.51,29 694.97,2026.05.28 17:37:52,30 077.82,0.00,0.00,- 4.63,,
2026.05.28 17:38:13,8265231,NAS100.x,sell,0.02,30 059.19,30 080.88,,2026.05.28 17:40:35,30 081.87,0.00,0.00,- 4.54,,
2026.05.28 17:38:18,8265309,NAS100.x,sell,0.02,30 059.89,30 084.21,29 693.47,2026.05.28 17:40:41,30 085.07,0.00,0.00,- 5.04,,
2026.05.28 17:42:27,8268831,NAS100.x,sell,0.02,30 059.64,,29 694.34,2026.05.28 17:43:17,30 079.57,0.00,0.00,- 3.99,,
2026.05.28 17:45:46,8273186,US30.x,buy,0.01,50 594,50 546,,2026.05.28 17:46:42,50 546,0.00,0.00,- 0.48,,
2026.05.28 17:46:07,8273732,US30.x,buy,0.07,50 596,50 539,51 126,2026.05.28 17:58:35,50 588,0.00,0.00,- 0.56,,
2026.05.28 17:46:38,8274393,US30.x,buy,0.07,50 611,50 543,51 103,2026.05.28 17:58:35,50 588,0.00,0.00,- 1.61,,
2026.05.28 17:48:08,8276179,US30.x,buy,0.07,50 591,50 550,51 126,2026.05.28 17:58:35,50 588,0.00,0.00,- 0.21,,
2026.05.28 17:49:54,8277501,NAS100.x,sell,0.02,30 067.39,30 091.56,,2026.05.28 17:52:50,30 091.07,0.00,0.00,- 4.74,,
2026.05.28 17:59:51,8283869,US30.x,buy,0.1,50 623,50 627,51 140,2026.05.28 20:25:48,50 641,0.00,0.00, 1.80,,
2026.05.28 18:26:05,8298307,US30.x,buy,0.15,50 632,50 636,51 137,2026.05.28 20:25:48,50 641,0.00,0.00, 1.35,,
2026.05.28 19:18:43,8322548,US30.x,buy,0.15,50 692,50 662,51 125,2026.05.28 19:28:03,50 662,0.00,0.00,- 4.50,,
2026.05.28 19:22:03,8324822,US30.x,buy,0.15,50 678,50 661,51 137,2026.05.28 19:28:04,50 660,0.00,0.00,- 2.70,,
2026.05.28 19:24:29,8327126,US30.x,buy,0.2,50 689,50 668,51 151,2026.05.28 19:27:17,50 667,0.00,0.00,- 4.40,,
2026.05.28 19:32:07,8332008,US30.x,buy,0.4,50 665,50 666,51 048,2026.05.28 20:12:30,50 666,0.00,0.00, 0.40,,
2026.05.28 19:37:11,8333376,US30.x,buy,0.4,50 665,50 665,50 940,2026.05.28 20:12:57,50 665,0.00,0.00,0.00,,
2026.05.28 19:44:36,8336089,US30.x,buy,0.4,50 677,50 677,50 822,2026.05.28 20:11:51,50 675,0.00,0.00,- 0.80,,
2026.05.28 20:23:09,8351328,US30.x,buy,0.4,50 655,50 643,,2026.05.28 20:25:31,50 643,0.00,0.00,- 4.80,,
2026.05.28 20:23:11,8351333,US30.x,buy,0.4,50 656,50 641,50 996,2026.05.28 20:25:41,50 641,0.00,0.00,- 6.00,,
2026.05.28 20:23:13,8351337,US30.x,buy,0.4,50 656,50 644,,2026.05.28 20:25:29,50 644,0.00,0.00,- 4.80,,
2026.05.28 20:32:17,8354157,US30.x,buy,0.45,50 650,50 626,51 126,2026.05.28 20:36:35,50 626,0.00,0.00,- 10.80,,
2026.05.28 20:37:14,8355543,US30.x,buy,0.45,50 645,50 627,51 132,2026.05.28 20:41:59,50 627,0.00,0.00,- 8.10,,
2026.05.28 20:37:18,8355550,US30.x,buy,0.45,50 647,50 627,50 824,2026.05.28 20:41:59,50 627,0.00,0.00,- 9.00,,
2026.05.28 20:37:26,8355570,US30.x,buy,0.45,50 648,50 629,50 787,2026.05.28 20:41:59,50 627,0.00,0.00,- 9.45,,
2026.05.28 20:48:46,8358256,US30.x,buy,0.45,50 640,50 624,51 103,2026.05.28 20:52:30,50 624,0.00,0.00,- 7.20,,
2026.05.28 20:48:53,8358302,US30.x,buy,0.45,50 641,50 624,51 045,2026.05.28 20:52:30,50 624,0.00,0.00,- 7.65,,
2026.05.28 20:49:49,8358570,US30.x,buy,0.3,50 645,50 624,50 978,2026.05.28 20:52:30,50 624,0.00,0.00,- 6.30,,
2026.05.28 21:01:53,8361200,US30.x,buy,0.31,50 636,50 621,,2026.05.28 21:04:25,50 622,0.00,0.00,- 4.34,,
2026.05.28 21:01:58,8361228,US30.x,buy,0.5,50 635,50 619,,2026.05.28 21:04:25,50 622,0.00,0.00,- 6.50,,
2026.05.28 21:02:07,8361363,US30.x,buy,0.5,50 635,50 630,,2026.05.28 21:03:11,50 630,0.00,0.00,- 2.50,,
